customer_id,country,source_note,source_file,load_timestamp
17850.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
13047.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
12583.0,France,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
13748.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
15100.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
15291.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
14688.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
17809.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
15311.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
14527.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
16098.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
18074.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
17420.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
16029.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
16250.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
12431.0,Australia,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
17511.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
17548.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
13705.0,United Kingdom,Derived customer record from UCI Online Retail transaction data,customers.json,2026-08-20 20:32:36.502969
